time,property,state
1294,8.905908,7
1295,9.227524,7
1296,9.565437,7
1297,9.449572,7
1298,10.182337,8
1299,10.464798,8
1300,9.72,7
1301,10.464798,8
1302,10.464798,8
1303,10.805999,8
1304,10.799999,8
1305,10.440001,8
1306,10.805999,8
1307,10.823973,8
1308,11.570515,8
1309,12.371645,8
1310,12.6462,8
1311,11.966953,8
1312,12.245294,8
1313,12.074766,8
1314,10.8955765,8
1315,12.7279215,8
1316,12.324414,8
1317,12.429127,8
1318,11.013882,8
1319,10.829959,8
1320,10.739833,8
1321,10.483357,8
1322,9.449572,7
1323,9.449572,7
1324,8.217153,7
1325,8.39657,7
1326,8.4963045,7
1327,8.39657,7
1328,9.693296,7
1329,10.041354,8
1330,9.9571085,7
1331,10.8955765,8
1332,9.9571085,7
1333,10.041354,8
1334,10.137692,8
1335,10.587917,8
1336,9.793058,7
1337,10.495713,8
1338,11.043261,8
1339,10.137692,8
1340,9.793058,7
1341,10.041354,8
1342,10.661107,8
1343,10.661107,8
1344,10.594036,8
1345,10.853866,8
1346,10.853866,8
1347,10.538843,8
1348,9.531505,7
1349,8.311245,7
1350,8.707238,7
1351,9.114471,7
1352,9.779817,7
1353,10.308831,8
1354,10.239453,8
1355,10.538843,8
1356,10.041354,8
1357,10.137692,8
1358,9.793058,7
1359,8.699793,7
1360,8.089993,7
1361,6.28713,6
1362,7.2,7
1363,8.759178,7
1364,8.557102,7
1365,8.12197,7
1366,9.0645685,7
1367,9.779817,7
1368,10.440001,8
1369,10.08,8
1370,10.08,8
1371,10.446206,8
1372,10.823973,8
1373,11.165805,8
1374,11.165805,8
1375,10.948973,8
1376,10.594036,8
1377,9.726665,7
1378,10.805999,8
1379,11.928989,8
1380,12.429127,8
1381,12.015589,8
1382,11.879999,8
1383,11.212135,8
1384,10.931203,8
1385,10.630672,8
1386,10.00256,8
1387,9.693296,7
1388,8.854829,7
1389,9.904906,7
1390,9.885262,7
1391,9.9571085,7
1392,9.6932955,7
1393,8.427383,7
1394,7.5685663,7
1395,6.696387,7
1396,3.8939953,4
1397,4.1046314,5
1398,3.9763298,4
1399,3.6179552,4
1400,3.2599385,3
1401,3.0758414,3
1402,1.9386592,1
1403,2.3051248,1
1404,3.5455887,4
1405,3.8773184,4
1406,4.6800003,5
1407,4.452954,5
1408,4.3349743,5
1409,2.9024127,3
1410,3.396233,4
1411,4.68,5
1412,5.506941,6
1413,5.4833565,6
1414,4.829907,5
1415,4.0249224,5
1416,3.4152596,4
1417,2.8799999,3
1418,3.2399998,3
1419,3.96,4
1420,5.04,6
1421,6.5693827,6
1422,7.2805495,7
1423,7.342588,7
1424,6.5693827,6
1425,6.2145634,6
1426,5.8603754,6
1427,5.4477882,6
1428,5.1544156,6
1429,4.3498964,5
1430,3.0547013,3
1431,1.8,1
1432,1.484318,1
1433,1.08,1
1434,1.9386592,1
1435,4.1046314,5
1436,4.3349743,5
1437,3.319036,3
1438,3.7064266,4
1439,1.835647,1
1440,2.968636,3
1441,4.6800003,5
1442,4.510787,5
1443,2.968636,3
1444,4.0249224,5
1445,3.9763298,4
1446,6.12,6
1447,7.5942073,7
1448,7.9932976,7
1449,8.707238,7
1450,9.36,7
1451,9.3876505,7
1452,10.182337,8
1453,9.531505,7
1454,8.647496,7
1455,7.92,7
1456,6.830519,7
1457,7.5685663,7
1458,7.729527,7
1459,8.557102,7
1460,9.693296,7
1461,11.435313,8
1462,12.074766,8
1463,11.966953,8
1464,11.966954,8
1465,11.013882,8
1466,11.252519,8
1467,11.542478,8
1468,11.165805,8
1469,11.159999,8
1470,11.5199995,8
1471,11.885453,8
1472,10.853866,8
